Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
10890134359,"Feb 25, 2024, 3:24:14 PM",Afternoon Ride,Ride,"",4784,17.99,,,false,"",Unibike Viper,activities/10890134359.gpx,,14.7,4784.0,4476.0,17996.8,16.086,4.021,302.1,302.0,254.2,375.3,21.3,0.0,,,,,,,,111.0,554.0,,,,,,,,,,,,,,,,0.0,,1.0,,1708873216.0,3.0,11.9,11.0,4.7,0.61,1008.4,1.9,4.4,189.0,0.0,1708839168.0,1708877696.0,0.5,13853240.0,,0.0,1.0,0.9,31787.9,0.0,,,,,0.0,3.762,983.8,,,,,,,,,,,,,,,,,,,""
10890156760,"Mar 1, 2024, 5:16:11 AM",Morning Ride,Ride,"",2569,15.14,182.0,95,true,"",Unibike Viper,activities/11640668430.fit.gz,,14.7,2569.0,2412.0,15142.8,14.938,6.278,82.0,232.0,202.2,368.4,33.9,-1.0,,,,,,164.0,,120.0,561.0,,13.0,95.0,,,,,,,,,,,0.0,,1.0,,1.0,,1709269248.0,1.0,4.7,3.2,3.3,0.91,1012.4,1.9,3.8,106.0,0.0,1709270528.0,1709310208.0,0.625,13853240.0,,0.0,1.0,0.35,20037.1,0.0,,,,,0.0,5.894,0.0,,,,,,,,,,,,,,,,,,,""
10890159590,"Mar 2, 2024, 12:35:45 PM",Afternoon Walk,Walk,"",893,0.95,137.0,2,false,"",,activities/11640671572.fit.gz,,,893.0,893.0,953.7,6.102,1.068,0.0,0.0,0.0,0.0,0.0,0.0,,,64.0,59.0,,107.0,,,90.0,,,2.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.068,0.0,,,,1702.0,,,,,,,,,,,,,,,""
10890159640,"Mar 1, 2024, 6:52:28 PM",Evening Walk,Walk,"",329,0.06,144.0,1,false,"",,activities/11640671560.fit.gz,,,329.0,329.0,62.2,1.347,0.189,0.0,0.0,0.0,0.0,0.0,0.0,,,72.0,60.0,,114.0,,,40.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.189,0.0,,,,618.0,,,,,,,,,,,,,,,""
10890159722,"Mar 1, 2024, 10:12:50 AM",Lunch Ride,Ride,"",3725,15.20,174.0,73,true,"",Unibike Viper,activities/11640671532.fit.gz,,14.7,3725.0,3518.0,15208.0,12.39,4.323,218.0,86.0,202.8,357.2,25.3,0.9,,,,,,148.0,,120.0,641.0,,17.0,73.0,,,,,,,,,,,0.0,,1.0,,1.0,,1709287168.0,3.0,12.1,11.3,6.7,0.7,1011.3,1.8,4.5,76.0,0.0,1709270528.0,1709310208.0,0.625,13853240.0,,0.0,1.0,0.8,26440.8,1.0,,,,,0.0,4.083,0.0,,,,,,,,,,,,,,,,,,,""
10890159836,"Mar 3, 2024, 11:20:00 AM",Lunch Walk,Walk,"",1994,2.06,139.0,5,false,"",,activities/11640671632.fit.gz,,,1994.0,1790.0,2064.6,1.912,1.153,59.0,65.0,299.8,354.8,23.1,-0.4,,,97.0,54.0,,113.0,,,209.0,,26.0,5.0,,,,,,,,,,,0.0,,0.0,,1.0,,1709463552.0,1.0,13.1,12.3,6.9,0.66,1009.7,2.4,5.8,116.0,0.0,1709443200.0,1709483136.0,0.625,,,0.0,1.0,0.11,27507.0,2.0,,,,,0.0,1.035,0.0,,,,2832.0,,,,,,,,,,,,,,,""
10890159852,"Mar 3, 2024, 9:20:33 AM",Morning Ride,Ride,"",6077,26.61,185.0,110,false,"",Unibike Viper,activities/11640671595.fit.gz,,14.7,6077.0,5590.0,26610.0,15.872,4.76,396.0,414.0,281.2,436.0,29.3,0.0,,,,,,147.0,,120.0,881.0,,21.0,110.0,,,,,,,,,,,0.0,,0.0,,1.0,,1709456384.0,1.0,10.2,9.5,6.4,0.77,1010.5,1.6,4.0,107.0,0.0,1709443072.0,1709483136.0,0.625,13853240.0,,0.0,1.0,0.28,25510.0,2.0,,,,,0.0,4.379,2241.1,,,,,,,,,,,,,,,,,,,""
10890159870,"Mar 3, 2024, 4:16:40 PM",Afternoon Ride,Ride,"",3700,15.56,185.0,89,false,"",Unibike Viper,activities/11640671655.fit.gz,,14.7,3700.0,3405.0,15561.9,15.684,4.57,262.0,273.0,259.4,356.6,23.3,-0.1,,,,,,153.0,,122.0,503.0,,20.0,89.0,,,,,,,,,,,0.0,,0.0,,1.0,,1709481600.0,1.0,12.2,11.5,7.1,0.71,1007.7,2.7,5.2,83.0,0.0,1709443200.0,1709483136.0,0.625,13853240.0,,0.0,1.0,0.28,26980.1,0.0,,,,,0.0,4.206,976.4,,,,,,,,,,,,,,,,,,,""
10896224349,"Mar 5, 2024, 3:40:31 PM",Afternoon Run,Run,"",1621,3.69,188.0,86,false,,,activities/11651383019.fit.gz,,,1621.0,1621.0,3690.0,3.824,2.276,0.0,0.0,0.0,0.0,0.0,0.0,,,86.0,79.0,,173.0,,292.0,302.0,,,86.0,472699.0,,,,,,,,315.0,1622.0,0.0,,0.0,,1.0,4748.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.276,0.0,,,,4048.0,,,,,,,,,,,,,,,""
10916138953,"Mar 8, 2024, 11:45:15 AM",Lunch Walk,Walk,,5718,4.37,151.0,10,false,,,activities/11672496575.fit.gz,,,5718.0,3942.0,4377.7,3.454,1.111,66.0,90.0,278.0,356.4,27.0,0.0,,,88.0,55.0,,100.0,,,291.0,,26.0,10.0,,,,,,,,,,,,,0.0,,1.0,,1709895552.0,2.0,3.4,0.0,-1.9,0.68,1022.6,3.8,6.8,97.0,0.0,1709874560.0,1709915648.0,0.875,,,0.0,1.0,0.52,25946.7,2.0,,,,,0.0,0.766,0.0,,,,5982.0,,,,,,,,,,,,,,,""
10917637522,"Mar 8, 2024, 4:42:01 PM",Afternoon Walk,Walk,,2842,3.34,135.0,9,false,,,activities/11674051500.fit.gz,,,2842.0,2756.0,3346.1,2.76,1.214,60.0,62.0,330.2,365.4,21.2,-0.1,,,108.0,55.0,,114.0,,,233.0,,28.0,9.0,,,,,,,,,,,,,0.0,,1.0,,1709913600.0,1.0,3.9,1.0,-1.3,0.69,1020.6,3.1,5.3,93.0,0.0,1709874560.0,1709915648.0,0.875,,,0.0,1.0,0.23,26145.4,0.0,,,,,0.0,1.177,0.0,,,,4500.0,,,,,,,,,,,,,,,""
10922437741,"Mar 9, 2024, 11:24:35 AM",Lunch Walk,Walk,,3883,4.53,145.0,12,false,,,activities/11679038218.fit.gz,,,3883.0,3843.0,4537.8,2.674,1.181,125.0,126.0,331.4,363.8,22.3,0.0,,,118.0,54.0,,108.0,,,299.0,,26.0,12.0,,,,,,,,,,,,,0.0,,1.0,,1709981952.0,1.0,7.0,4.9,2.1,0.71,1016.3,3.0,5.2,102.0,0.0,1709960832.0,1710002176.0,0.875,,,0.0,1.0,0.01,26491.6,3.0,,,,,0.0,1.169,0.0,,,,6180.0,,,,,,,,,,,,,,,""
10924580820,"Mar 9, 2024, 3:35:29 PM",Afternoon Ride,Ride,,5536,13.71,187.0,83,false,,Unibike Viper,activities/11681259433.fit.gz,,14.7,5536.0,3719.0,13710.8,14.482,3.687,299.0,292.0,249.6,362.2,46.7,0.0,,,,,,150.0,,109.0,459.0,,21.0,83.0,,,,,,,,,,,,,0.0,,1.0,,1709996416.0,1.0,9.8,8.3,2.8,0.62,1013.5,2.9,5.0,103.0,0.0,1709960832.0,1710002176.0,0.875,13853240.0,,0.0,1.0,0.36,27967.8,0.0,,,,,0.0,2.477,1183.2,,,,,,,,,,,,,,,,,,,""
10927479940,"Mar 10, 2024, 7:24:46 AM",Morning Ride,Ride,"",1194,7.25,178.0,29,true,,Unibike Viper,activities/11684297619.fit.gz,,14.7,1194.0,1165.0,7256.8,14.176,6.229,62.0,113.0,253.6,342.8,13.1,-0.7,,,,,,152.0,,135.0,175.0,,18.0,29.0,,,,,,,,,,,0.0,,1.0,,1.0,,1710054016.0,3.0,3.6,1.3,0.9,0.82,1011.3,2.5,5.2,80.0,0.0,1710047104.0,1710088704.0,0.875,13853240.0,,0.47,5.0,0.94,24678.8,0.0,,,,,0.0,6.078,0.0,,,,,,,,,,,,,,,,,,,""
10927742964,"Mar 10, 2024, 7:53:35 AM",Morning Weight Training,Weight Training,,3628,0,167.0,15,false,,,activities/11684573623.fit.gz,,,3628.0,3628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,118.0,,,289.0,,,15.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10927987048,"Mar 10, 2024, 9:01:37 AM",Morning Ride,Ride,"",1904,7.23,161.0,18,true,,Unibike Viper,activities/11684826554.fit.gz,,14.7,1904.0,1862.0,7235.1,10.628,3.886,114.0,61.0,251.4,342.0,16.4,0.8,,,,,,134.0,,104.0,214.0,,22.0,18.0,,,,,,,,,,,0.0,,1.0,,1.0,,1710061184.0,3.0,7.3,5.4,2.8,0.73,1010.8,2.8,5.9,82.0,0.0,1710046976.0,1710088704.0,0.875,13853240.0,,0.43,5.0,0.82,24269.8,2.0,,,,,0.0,3.8,0.0,,,,,,,,,,,,,,,,,,,""
10931460407,"Mar 10, 2024, 2:33:21 PM",Afternoon Ride,Ride,,6239,20.50,183.0,65,false,,Unibike Viper,activities/11688505141.fit.gz,,14.7,6239.0,5181.0,20505.7,13.158,3.958,362.0,386.0,279.2,385.4,34.7,0.0,,,,,,136.0,,106.0,514.0,,17.0,65.0,,,,,,,,,,,,,0.0,,1.0,,1710079232.0,3.0,13.0,12.2,6.5,0.65,1008.1,5.3,9.4,113.0,0.0,1710047104.0,1710088704.0,0.875,13853240.0,,0.42,5.0,0.9,22632.8,1.0,,,,,0.0,3.287,1799.0,,,,,,,,,,,,,,,,,,,""
10938262504,"Mar 11, 2024, 6:28:01 PM",Evening Run,Run,,1815,3.11,151.0,13,false,,,activities/11695586105.fit.gz,,,1815.0,1815.0,3110.0,2.574,1.713,0.0,0.0,0.0,0.0,0.0,0.0,,,86.0,66.0,,136.0,,120.0,216.0,,,13.0,217173.0,,,,,,,,138.0,1816.0,,,0.0,,1.0,2391.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.713,0.0,,,,3870.0,,,,,,,,,,,,,,,""
10943759432,"Mar 12, 2024, 2:36:09 PM",Afternoon Run,Run,,3014,5.93,184.0,144,false,,,activities/11701266395.fit.gz,,,3014.0,3013.0,5930.0,4.208,1.968,0.0,0.0,0.0,0.0,0.0,0.0,,,123.0,76.0,,168.0,,279.0,475.0,,,144.0,842673.0,,,,,,,,310.0,3016.0,,,0.0,,1.0,8515.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.967,0.0,,,,7518.0,,,,,,,,,,,,,,,""
10950908911,"Mar 13, 2024, 2:23:27 PM",Afternoon Ride,Ride,,1188,7.26,171.0,15,false,,Unibike Viper,activities/11708643576.fit.gz,,14.7,1188.0,1149.0,7260.2,14.614,6.319,61.0,116.0,252.4,343.2,11.5,-0.8,,,,,,141.0,,140.0,151.0,,21.0,15.0,,,,,,,,,,,,,0.0,,1.0,,1710338432.0,3.0,8.4,6.1,4.9,0.79,1016.3,3.9,7.2,0.0,0.0,1710305920.0,1710348160.0,0.125,13853240.0,,0.64,5.0,0.95,22420.4,1.0,,,,,0.0,6.111,0.0,,,,,,,,,,,,,,,,,,,""
10951330655,"Mar 13, 2024, 2:48:38 PM",Afternoon Weight Training,Weight Training,,4085,0,161.0,14,false,,,activities/11709080538.fit.gz,,,4085.0,4085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,111.0,,,280.0,,,14.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10951616205,"Mar 13, 2024, 4:03:08 PM",Legendarny wypadek na górnej wsi (specjalnie z małej),Ride,"",2075,7.31,169.0,27,false,,Unibike Viper,activities/11709375320.fit.gz,,14.7,2075.0,1773.0,7318.2,11.834,4.128,141.0,87.0,281.8,359.0,49.2,0.7,,,,,,142.0,,127.0,225.0,,25.0,27.0,,,,,,,,,,,0.0,,0.0,,1.0,,1710345600.0,3.0,7.8,6.3,4.9,0.82,1016.9,2.4,4.6,28.0,0.0,1710305920.0,1710348160.0,0.125,13853240.0,,0.65,5.0,0.86,25732.8,0.0,,,,,0.0,3.527,0.0,,,,,,,,,,,,,,,,,,,""
10958353054,"Mar 14, 2024, 2:51:16 PM",Afternoon Run,Run,,1579,3.93,193.0,76,false,,,activities/11716336866.fit.gz,,,1579.0,1459.0,3933.5,5.05,2.696,82.0,84.0,280.0,358.2,24.8,0.0,,,123.0,76.0,,174.0,,283.0,253.0,,,76.0,403623.0,,,,,,,,296.0,1575.0,,,0.0,,1.0,4145.1,1710424832.0,3.0,9.3,8.5,4.0,0.69,1017.4,1.3,3.3,87.0,0.0,1710392192.0,1710434688.0,0.125,,,0.0,1.0,0.75,24512.9,1.0,,,,,0.0,2.491,0.0,,,,3488.0,,,,,,,,,,,,,,,""
10965509681,"Mar 15, 2024, 3:46:01 PM",Recovery Walk,Walk,"",1929,1.78,150.0,12,false,,,activities/11723714420.fit.gz,,,1929.0,1929.0,1785.9,2.64,0.926,0.0,0.0,0.0,0.0,0.0,0.0,,,118.0,62.0,,136.0,,85.0,227.0,,,12.0,164292.0,,,,,,,,104.0,1930.0,0.0,,0.0,,1.0,1785.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.926,0.0,,,,3716.0,,,,,,,,,,,,,,,""
10970129220,"Mar 16, 2024, 10:21:36 AM",Lunch Ride,Ride,,1644,7.45,176.0,27,false,,Unibike Viper,activities/11728502907.fit.gz,,14.7,1644.0,1379.0,7454.5,13.163,5.406,67.0,120.0,252.6,341.4,29.4,-0.7,,,,,,146.0,,114.0,196.0,,24.0,27.0,,,,,,,,,,,,,0.0,,1.0,,1710583168.0,3.0,12.8,12.1,7.3,0.69,1015.2,4.1,7.8,241.0,0.0,1710564608.0,1710607616.0,0.125,13853240.0,,0.47,5.0,0.98,28181.1,2.0,,,,,0.0,4.534,0.0,,,,,,,,,,,,,,,,,,,""
10970679711,"Mar 16, 2024, 11:00:53 AM",Lunch Weight Training,Weight Training,,2990,0,145.0,9,false,,,activities/11729073607.fit.gz,,,2990.0,2990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,109.0,,,202.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10970991392,"Mar 16, 2024, 11:58:41 AM",Lunch Ride,Ride,,1536,7.26,177.0,24,false,,Unibike Viper,activities/11729398301.fit.gz,,14.7,1536.0,1536.0,7260.7,10.568,4.727,111.0,54.0,252.6,341.8,25.5,0.7,,,,,,143.0,,132.0,204.0,,26.0,24.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,13853240.0,,,,,,,,,,,0.0,4.727,0.0,,,,,,,,,,,,,,,,,,,""
10977372045,"Mar 17, 2024, 10:28:31 AM",Lunch Yoga,Yoga,"",517,0,117.0,1,false,,,activities/11736049119.fit.gz,,,517.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,91.0,,,22.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,""
10986226600,"Mar 18, 2024, 2:53:35 PM",Afternoon Yoga,Yoga,13 minute  Mobility routine from Recover Athletics,756,0,131.0,1,false,,,activities/11745594595.fit.gz,,,756.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,92.0,,,32.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,media/d22e9905-b259-4db2-a47e-b7862c6e872a.jpg
10993256236,"Mar 19, 2024, 1:39:02 PM",Afternoon Ride,Ride,,4163,16.25,188.0,79,false,,Unibike Viper,activities/11752901547.fit.gz,,14.7,4163.0,3953.0,16258.8,12.38,4.113,320.0,320.0,250.2,358.2,46.9,0.0,,,,,,147.0,,117.0,513.0,,17.0,79.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,13853240.0,,,,,,,,,,,0.0,3.906,822.0,,,,,,,,,,,,,,,,,,,""
11001030079,"Mar 20, 2024, 2:54:11 PM",Afternoon Run,Run,,2042,3.97,188.0,70,false,,,activities/11760918116.fit.gz,,,2042.0,2042.0,3978.6,3.93,1.948,0.0,1.0,346.6,348.6,7.4,0.0,,,91.0,73.0,,159.0,,181.0,301.0,,,70.0,370296.0,,,,,,,,221.0,2043.0,,,0.0,,1.0,3981.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.948,0.0,,,,4686.0,,,,,,,,,,,,,,,""
11008495609,"Mar 21, 2024, 3:36:32 PM",Afternoon Run,Run,,1552,2.73,159.0,33,false,,,activities/11768541595.fit.gz,,,1552.0,1552.0,2730.0,3.988,1.759,0.0,0.0,0.0,0.0,0.0,0.0,,,124.0,74.0,,148.0,,250.0,216.0,,,33.0,388223.0,,,,,,,,280.0,1553.0,,,0.0,,1.0,4055.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.759,0.0,,,,3786.0,,,,,,,,,,,,,,,""
11015289719,"Mar 22, 2024, 3:31:45 PM",Afternoon Run,Run,,2522,4.64,165.0,68,false,,,activities/11775580076.fit.gz,,,2522.0,2520.0,4640.0,3.118,1.841,0.0,0.0,0.0,0.0,0.0,0.0,,,120.0,74.0,,154.0,,177.0,366.0,,,68.0,446776.0,,,,,,,,195.0,2524.0,,,0.0,,1.0,4752.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.84,0.0,,,,6166.0,,,,,,,,,,,,,,,""
